"student_id","minutes_watched","paid_in_q2"
"27775","10.17","0"
"27780","1.33","0"
"27832","11.80","0"
"27851","2.20","0"
"27937","0.47","0"
"28018","107.63","0"
"28025","15.07","0"
"28080","0.27","0"
"28322","0.53","0"
"28568","1.23","0"
"28630","9.87","0"
"29264","23.37","0"
"29444","74.93","0"
"29740","1.70","0"
"29993","24.63","0"
"30084","0.10","0"
"30159","0.13","0"
"30195","83.63","0"
"30320","0.13","0"
"30545","0.33","0"
"30556","0.17","0"
"30636","0.13","0"
"30809","73.47","0"
"31021","0.10","0"
"31246","13.13","0"
"31356","12.50","0"
"31366","103.63","0"
"31490","10.40","0"
"31491","1.17","0"
"31780","122.60","0"
"32008","0.13","0"
"32014","35.83","0"
"32027","98.03","0"
"32033","0.93","0"
"32124","0.57","0"
"32150","0.37","0"
"32178","1.33","0"
"32339","13.90","0"
"32882","3.20","0"
"32918","0.17","0"
"33001","0.20","0"
"33088","5.67","0"
"33090","0.63","0"
"33178","0.13","0"
"33257","20.07","0"
"33474","18.87","0"
"33945","12.67","0"
"34394","0.17","0"
"34619","0.10","0"
"34699","117.10","0"
"34714","38.87","0"
"34719","13.20","0"
"34838","16.67","0"
"34912","0.77","0"
"35148","0.53","0"
"35223","14.93","0"
"35335","1.60","0"
"35690","1.23","0"
"36300","98.87","0"
"36738","0.67","0"
"36784","0.20","0"
"36902","5.03","0"
"37381","0.17","0"
"37529","2.13","0"
"38021","1.33","0"
"38232","2.67","0"
"38481","18.07","0"
"38507","34.10","0"
"39002","33.27","0"
"39073","0.57","0"
"39090","0.43","0"
"39208","85.60","0"
"39298","17.77","0"
"39688","218.83","0"
"39692","0.23","0"
"39769","0.40","0"
"40223","0.30","0"
"40679","1.23","0"
"40735","0.10","0"
"41103","34.47","0"
"41393","0.47","0"
"41418","0.97","0"
"41627","2.00","0"
"41789","0.97","0"
"41851","0.10","0"
"41920","70.50","0"
"41949","66.23","0"
"42092","0.40","0"
"42236","0.37","0"
"42281","0.47","0"
"42491","94.87","0"
"42509","0.17","0"
"42546","3.07","0"
"42557","3.00","0"
"42613","4.03","0"
"42622","0.57","0"
"42831","0.90","0"
"42833","0.23","0"
"42944","5.73","0"
"43094","14.93","0"
"43115","275.30","0"
"43136","11.57","0"
"43171","1.33","0"
"43612","4.90","0"
"43828","5.00","0"
"44106","36.93","0"
"44751","0.10","0"
"45277","91.53","0"
"45350","1.13","0"
"45417","22.13","0"
"46421","0.40","0"
"46607","0.27","0"
"46807","2.30","0"
"47436","9.10","0"
"47760","1.20","0"
"47942","21.60","0"
"48106","0.63","0"
