student_id,minutes_watched,paid_in_q2
4522,1.33,1
4537,339.17,1
4539,0.1,1
4544,99.1,1
4551,0.27,1
4553,0.23,1
4568,41.43,1
4574,72.2,1
4582,49.5,1
4585,1271.93,1
4593,5.6,1
4595,119.4,1
4609,38.43,1
4613,261.67,1
4615,0.73,1
4617,2255.8,1
4621,2238.43,1
4629,3625.67,1
4640,587.63,1
4646,298.73,1
4685,12.57,1
4686,9.37,1
4692,212.1,1
4698,12.93,1
4706,608.77,1
4707,2616.1,1
4721,4833.3,1
4723,207.63,1
4739,1537.93,1
4743,36.7,1
4745,112.6,1
4751,0.5,1
4756,193.5,1
4784,26.73,1
4790,822.6,1
4793,10.27,1
4795,510.03,1
4797,10.53,1
4801,718.8,1
4803,218.3,1
4827,20.77,1
4828,0.97,1
4829,1987.67,1
4837,817.5,1
4849,1361.67,1
4861,10.8,1
4869,101.17,1
4872,721.4,1
4874,783.23,1
4877,25.2,1
4884,0.2,1
4898,306.87,1
4917,3.8,1
4921,551.57,1
4927,79.93,1
4939,693.73,1
4946,45.13,1
4958,2898.47,1
4969,10.37,1
4972,96.43,1
4991,1893.53,1
5010,782.93,1
5028,1638.37,1
5036,1928.3,1
5058,31.37,1
5063,0.2,1
5064,504.33,1
5070,363.13,1
5071,630.63,1
5075,1150.43,1
5076,696.77,1
5080,2681.63,1
5088,1.57,1
5098,563.07,1
5104,506.8,1
5130,1750.17,1
5136,27.8,1
5143,60.23,1
5153,119.57,1
5155,109.2,1
5203,454.1,1
5212,831.43,1
5221,0.13,1
5223,1171.73,1
5227,0.67,1
5262,853.03,1
5274,44.17,1
5279,278.83,1
5286,453.2,1
5299,530.2,1
5309,1421.07,1
5321,1777.0,1
5323,192.8,1
5325,333.0,1
5334,22.97,1
5336,1178.07,1
5340,521.6,1
5358,29.97,1
5373,489.17,1
5380,1.73,1
5382,1138.53,1
5385,669.77,1
5389,0.67,1
5391,715.1,1
5392,24.63,1
5424,28.8,1
5427,82.97,1
5434,922.3,1
5450,39.53,1
5453,3118.03,1
5502,489.67,1
5511,0.13,1
5515,14.57,1
5543,1950.83,1
5567,1523.8,1
5574,18.17,1
5577,505.07,1
